Unnamed: 0,total_foliage,total_orange,width,height,volume,surface_area,perimeter,avg_width,avg_height,avg_volume,avg_perimeter,foliage_fullness,center_width,center_perimeter,center_height,frame,w_h_ratio,q1,q3,avg_intens_arr,med_intens_arr,fruit_foliage_ratio,mst_sums_arr,mst_mean_arr,mst_skew_arr,clusters_area_mean_arr,clusters_area_med_arr,clusters_ch_area_mean_arr,clusters_ch_area_med_arr,n_clust_arr_2,n_clust_arr_4,n_clust_arr_6,n_clust_mean_arr,n_clust_med_arr,q_1_precent_fruits,q_2_precent_fruits,q_3_precent_fruits,fruit_dist_center,ndvi,ndri,sipi,gli,ndvi_skew,ndri_skew,sipi_skew,gli_skew,cv,cv1,cv2,cv3,cv4,cv5,block_name,name,customer
143,154.407478979022,1.62373695369761,2.85728050470352,4.32860069274902,9.25170778759039,4.23232889175415,3.67458915710449,2.25951185822487,3.97394371032715,5.31152937481544,2.37524962425232,0.89101732105034,2.43605896725374,2.92237237740678,3.94221780981336,44,0.073984963463005,0.004008016032064,0.008016032064128,0.057542357442157,0.004008016032064,2.14750180903555,36.1529311504899,0.317130975004297,1.58016214243205,825.089602832999,2109.62001306866,0.247063438021832,0.037121590115033,12,19,11,14,18,0.339130434782609,0.304347826086957,0.234782608695652,0.496029132483086,0.832471972155335,8.75e-05,1.03022696282502,0.054096813011628,9.43478479157442,12.2306966442538,11.3584657203885,0.867523837117248,122,122,76,58,50,43,DWDBNW40,R6_S2_T1,DEWAGD
144,208.089268684172,2.17643384170047,3.20175150036812,3.37866089344025,9.06751901794002,5.08463382720947,4.49364926218987,2.86141848564148,2.95230424404144,6.32837920080772,1.76213645376265,0.95736312060588,2.80607721523235,1.79350987861262,3.04225329001745,56,0.090412770716835,0.005882352941176,0.014705882352941,0.019922446590577,0.011764705882353,1.89700040649343,38.1134009969072,0.187750743827129,1.23533288210433,2026.12872210881,2107.42083217765,0.026059714548083,0.005764279703839,41,26,12,37,40,0.377450980392157,0.436274509803922,0.107843137254902,0.381490683713558,0.866434971135655,-0.066411992288175,0.992906458499293,0.035947782068061,-2.22000901337312,-1.00323727016582,-5.77190119809457,1.42929725019266,204,204,145,114,98,89,DWDBNW40,R66_S1_T1,DEWAGD
148,236.194759215785,2.98268634585019,4.01959285140038,3.32574887275696,14.0676712149658,4.67772388458252,4.44119016826153,3.61688631772995,2.98254990577698,10.2147105159387,2.54556059837341,0.956165221092003,3.72067738921322,3.07640811474177,3.10766004851934,44,0.068760853330333,0.019867549668874,0.072847682119205,0.056037762434832,0.033112582781457,3.0259794907255,44.5619466207318,0.182630928773491,2.81482048565114,3205.22651607747,4087.32425466068,0.067540211783804,0.010831282920479,46,15,5,41,46,0.338775510204082,0.293877551020408,0.228571428571429,0.462694393929014,0.859011453348747,-0.010779005921341,1.0020066870824,0.079322941696755,-2.31698063286907,-0.740004926048307,0.108803787986256,1.02662050769225,246,246,165,133,115,95,DWDBVM18,R10_S1_T1,DEWAGD
149,209.953741254157,4.72990554336523,3.94802844524384,3.29042179584503,13.427054325703,4.51485109329224,3.96472245454788,3.49637973308563,3.05879056453705,9.78938833407856,3.16683858633041,0.944335827394046,3.62948670687034,3.1854783544611,3.02931586469923,44,0.081152905206294,0.03448275862069,0.068965517241379,0.064932732497388,0.051724137931035,1.80165055156258,53.9445623267901,0.20990102072681,2.36742705183677,1397.87467603376,1744.92404503045,0.121943213853378,0.013488168446268,49,10,4,44,54,0.348837209302326,0.37984496124031,0.143410852713178,0.37489221661019,0.854296576041699,-0.019630677649377,0.993501088813742,0.048199610970902,-2.19322821017761,-0.896988048208306,-4.8160304159521,1.09137311686159,265,265,196,170,156,135,DWDBVM18,R10_S2_T1,DEWAGD
150,280.15051393646,4.94420732800063,3.54957348108292,3.62632036209106,11.9615411158132,5.06325197219849,4.30242538452148,3.32873004674911,3.14101624488831,9.11162760167633,3.37785249948502,0.939911489109205,3.32958713679286,3.35217523383118,3.01942364614304,52,0.085002147844507,0.01123595505618,0.01685393258427,0.021067415730337,0.01123595505618,1.70882664810971,59.2185001721071,0.179450000521537,2.38726089762566,3626.50690433108,3186.26243442394,0.201911425665921,0.058516007270381,42,24,4,44,41,0.56797583081571,0.280966767371601,0.069486404833837,0.291266745917993,0.887883943790552,-0.015210917451173,1.00173690066426,0.061310106130655,5.51481441138538,0.291778620769945,6.02992239609189,1.30702145146409,335,335,257,219,194,170,DWDBVM18,R30_S1_T1,DEWAGD
151,241.621826778789,5.43176469795435,4.26850533485413,3.4565080165863,16.4876155492681,4.84041881561279,3.24620023369789,4.0524708032608,3.24039351940155,13.9317659798546,2.27151867747307,0.909751982081701,3.99732855119203,2.36521390821153,3.14819612780821,52,0.081589868162696,0.008528784648188,0.017057569296375,0.021754407039251,0.008528784648188,1.71841666581315,65.5531213284006,0.187294632366859,6.03206013507513,3560.24442424758,2418.38073777488,0.173925408689642,0.039981424727538,67,17,3,53,65,0.250712250712251,0.495726495726496,0.182336182336182,0.47375433970085,0.847910441158128,-0.015761910960975,0.990812833129726,0.079867795112764,-1.90324889009244,1.36138129823485,-5.02391258361654,0.884032837456954,356,356,243,218,192,169,DWDBVM18,R30_S2_T1,DEWAGD
152,261.355004458632,4.24971372350941,4.83796215057373,3.85400128364563,23.6159496576836,5.46904897689819,4.12059366703033,3.96087282896042,3.12855076789856,12.8497190155081,3.43622973561287,0.946558464269744,3.90691088932997,3.24412999175794,3.10358407538592,60,0.078876875390032,0.009174311926606,0.027522935779817,0.03295659932737,0.018348623853211,1.35021466330471,67.510759732903,0.168356009308985,3.96714180303317,3589.5564167409,3039.67051274001,0.139608421730634,0.019500697830802,71,34,12,50,71,0.348258706467662,0.355721393034826,0.106965174129353,0.313292420702981,0.933141267141791,0.055724465726105,1.05280291072561,0.019452920837677,6.66182608921582,7.12025075159192,7.37656203046728,1.83198698760204,402,402,246,183,155,133,DWDBVM18,R42_S1_T1,DEWAGD
153,231.958327923153,3.06273019003276,3.89462828636169,3.57299339771271,14.1883818442209,5.05175590515137,4.36174356937408,3.60902726650238,3.11921727657318,10.6363980244394,3.0417652130127,0.9586750051649,3.43429544202068,3.1043096620437,3.02889157623373,72,0.079731798779064,0.004878048780488,0.009756097560976,0.017225609756098,0.004878048780488,1.7003825788012,64.8943041958591,0.172133432880263,3.25124581161704,3919.86030462105,4078.36526530748,0.118956287844284,0.069721977837362,65,16,5,57,60,0.351851851851852,0.306878306878307,0.187830687830688,0.341952267473966,0.882820403265878,-0.01766977576207,1.0010741491839,0.03427905766332,-2.42614632110709,1.12781893412706,1.60343272117708,1.53292261134754,382,382,268,212,177,149,DWDBVM18,R42_S2_T1,DEWAGD
155,328.678007005182,4.72662133176168,5.41903400421143,3.35999202728271,25.8315594872701,5.95612621307373,4.9561088681221,4.90075099468231,2.91148829460144,18.3066529531979,3.56312420964241,0.949909981042365,5.08308698873074,3.63675761979335,2.79093316514014,64,0.085312945895705,0.004201680672269,0.008403361344538,0.027009908440988,0.008403361344538,1.76983048680463,66.3628894960218,0.202325882609823,2.97301060118194,3122.2713402425,4404.05760402632,0.318150254895681,0.048191586529799,59,20,7,40,57,0.48936170212766,0.237082066869301,0.054711246200608,0.242733727683927,0.841036801543195,-0.012572850323112,0.999791809546401,0.045314186697259,-1.88053828899583,2.38729973265486,2.66100144033535,1.69195607365786,337,337,206,152,129,116,DWDBVM18,R54_S2_T1,DEWAGD
156,165.35807180902,2.23608951528497,3.44822990894318,3.41566715240479,10.6325295614402,3.56437540054321,2.61198788881302,3.16369539499283,2.73271298408508,7.16064216752329,1.86140891909599,0.942139893706086,3.12690296298579,2.09902643373138,2.76851590715658,40,0.067599067599068,0.007751937984496,0.026162790697675,0.032495623905977,0.011627906976744,2.66959580654787,34.4534330482627,0.223723591222485,4.58100236765409,1210.33828171426,949.859700265454,0.038949406369921,0.010941608496563,27,22,6,23,31,0.4,0.290322580645161,0.109677419354839,0.352493661860996,0.860056717913048,-0.021680235082385,0.989213032933408,0.005074911675905,-2.0315978370683,-0.915514223090345,-4.52724670436644,0.666511218567041,162,162,101,75,59,51,DWDBVM18,R70_S1_T1,DEWAGD
